GeneSym	NA	GeneID
ADAMTS17	na	170691
ADAMTS18	na	170692
ADAMTS19	na	171019
ADAMTS2	na	9509
ADAMTS20	na	80070
ADAMTS3	na	9508
ADAMTS4	na	9507
ADAMTS5	na	11096
ADAMTS6	na	11174
ADAMTS7	na	11173
ADAMTS8	na	11095
ADAMTS9	na	56999
ADAMTS9-AS2	na	100507098
ADAMTSL1	na	92949
ADAMTSL2	na	9719
ADAMTSL3	na	57188
ADAMTSL4	na	54507
ADAMTSL5	na	339366
ADAP1	na	11033
ADAP2	na	55803
ADAR	na	103
ADARB1	na	104
ADARB2	na	105
ADARB2-AS1	na	642394
ADAT1	na	23536
ADAT2	na	134637
ADAT3	na	113179
ADC	na	113451
ADCK1	na	57143
ADCK2	na	90956
ADCK3	na	56997
ADCK4	na	79934
ADCK5	na	203054
ADCY1	na	107
ADCY10	na	55811
ADCY2	na	108
ADCY3	na	109
ADCY4	na	196883
ADCY5	na	111
ADCY6	na	112
ADCY7	na	113
ADCY8	na	114
ADCY9	na	115
ADCYAP1	na	116
ADCYAP1R1	na	117
ADD1	na	118
ADD2	na	119
ADD3	na	120
ADGB	na	79747
ADH1A	na	124
ADH1B	na	125
ADH1C	na	126
ADH4	na	127
ADH5	na	128
ADH6	na	130
ADH7	na	131
ADHFE1	na	137872
ADI1	na	55256
ADIG	na	149685
ADIPOQ	na	9370
ADIPOR1	na	51094
ADIPOR2	na	79602
ADIRF	na	10974
ADK	na	132
ADM	na	133
ADM2	na	79924
ADM5	na	199800
ADNP	na	23394
ADNP2	na	22850
ADO	na	84890
ADORA1	na	134
ADORA2A	na	135
ADORA2A-AS1	na	646023
ADORA2B	na	136
ADORA3	na	140
ADPGK	na	83440
ADPRH	na	141
ADPRHL1	na	113622
ADPRHL2	na	54936
ADPRM	na	56985
ADRA1A	na	148
ADRA1B	na	147
ADRA1D	na	146
ADRA2A	na	150
ADRA2B	na	151
ADRA2C	na	152
ADRB1	na	153
ADRB2	na	154
ADRB3	na	155
ADRBK1	na	156
ADRBK2	na	157
ADRM1	na	11047
ADSL	na	158
ADSS	na	159
ADSSL1	na	122622
ADTRP	na	84830
AEBP1	na	165
AEBP2	na	121536
AEN	na	64782
AES	na	166
AFAP1	na	60312
AFAP1-AS1	na	84740
AFAP1L1	na	134265
AFAP1L2	na	84632
AFF1	na	4299
AFF2	na	2334
AFF3	na	3899
AFF4	na	27125
AFG3L1P	na	172
AFG3L2	na	10939
AFM	na	173
AFMID	na	125061
AFP	na	174
AFTPH	na	54812
AGA	na	175
AGAP1	na	116987
AGAP11	na	119385
AGAP2	na	116986
AGAP3	na	116988
AGAP4	na	119016
AGAP5	na	729092
AGAP6	na	414189
AGAP7P	na	653268
AGAP9	na	642517
AGBL1	na	123624
AGBL2	na	79841
AGBL3	na	340351
AGBL4	na	84871
AGBL5	na	60509
AGER	na	177
AGFG1	na	3267
AGFG2	na	3268
AGGF1	na	55109
AGK	na	55750
AGL	na	178
AGMAT	na	79814
AGMO	na	392636
AGO1	na	26523
AGO2	na	27161
AGO3	na	192669
AGO4	na	192670
AGPAT1	na	10554
AGPAT2	na	10555
AGPAT3	na	56894
AGPAT4	na	56895
AGPAT4-IT1	na	79992
AGPAT5	na	55326
AGPAT6	na	137964
AGPAT9	na	84803
AGPS	na	8540
AGR2	na	10551
AGR3	na	155465
AGRN	na	375790
AGRP	na	181
AGT	na	183
AGTPBP1	na	23287
AGTR1	na	185
AGTR2	na	186
AGTRAP	na	57085
AGXT	na	189
AGXT2	na	64902
AHCTF1	na	25909
AHCY	na	191
AHCYL1	na	10768
AHCYL2	na	23382
AHDC1	na	27245
AHI1	na	54806
AHNAK	na	79026
AHNAK2	na	113146
AHR	na	196
AHRR	na	57491
AHSA1	na	10598
AHSA2	na	130872
AHSG	na	197
AHSP	na	51327
AICDA	na	57379
AIDA	na	64853
AIF1	na	199
AIF1L	na	83543
AIFM1	na	9131
AIFM2	na	84883
AIFM3	na	150209
AIG1	na	51390
AIM1	na	202
AIM1L	na	55057
AIM2	na	9447
AIMP1	na	9255
AIMP2	na	7965
AIP	na	9049
AIPL1	na	23746
AIRE	na	326
AIRN	na	100271873
AJAP1	na	55966
AJUBA	na	84962
AK1	na	203
AK2	na	204
AK3	na	50808
AK4	na	205
AK5	na	26289
AK7	na	122481
AK8	na	158067
AK9	na	221264
AKAP1	na	8165
AKAP10	na	11216
AKAP11	na	11215
AKAP12	na	9590
AKAP13	na	11214
AKAP14	na	158798
AKAP17A	na	8227
AKAP2	na	11217
AKAP3	na	10566
AKAP4	na	8852
AKAP5	na	9495
AKAP6	na	9472
AKAP7	na	9465
AKAP8	na	10270
AKAP8L	na	26993
AKAP9	na	10142
AKIP1	na	56672
AKIRIN1	na	79647
AKIRIN2	na	55122
AKNA	na	80709
AKNAD1	na	254268
AKR1A1	na	10327
AKR1B1	na	231
AKR1B10	na	57016
AKR1B15	na	441282
AKR1C1	na	1645
AKR1C2	na	1646
AKR1C3	na	8644
AKR1C4	na	1109
AKR1C6P	na	389932
AKR1CL1	na	340811
AKR1D1	na	6718
AKR1E2	na	83592
AKR7A2	na	8574
AKR7A2P1	na	246182
AKR7A3	na	22977
AKR7L	na	246181
AKT1	na	207
AKT1S1	na	84335
AKT2	na	208
AKT3	na	10000
AKTIP	na	64400
ALAD	na	210
ALAS1	na	211
ALAS2	na	212
ALB	na	213
ALCAM	na	214
ALDH16A1	na	126133
ALDH18A1	na	5832
ALDH1A1	na	216
ALDH1A2	na	8854
ALDH1A3	na	220
ALDH1B1	na	219
ALDH1L1	na	10840
ALDH1L2	na	160428
ALDH2	na	217
ALDH3A1	na	218
ALDH3A2	na	224
ALDH3B1	na	221
ALDH3B2	na	222
ALDH4A1	na	8659
ALDH5A1	na	7915
ALDH6A1	na	4329
ALDH7A1	na	501
ALDH8A1	na	64577
ALDH9A1	na	223
ALDOA	na	226
ALDOB	na	229
ALDOC	na	230
ALG1	na	56052
ALG10	na	84920
ALG10B	na	144245
ALG11	na	440138
ALG12	na	79087
ALG13	na	79868
ALG14	na	199857
ALG1L	na	200810
ALG1L2	na	644974
ALG2	na	85365
ALG3	na	10195
ALG5	na	29880
ALG6	na	29929
ALG8	na	79053
ALG9	na	79796
ALK	na	238
ALKBH1	na	8846
ALKBH2	na	121642
ALKBH3	na	221120
ALKBH4	na	54784
ALKBH5	na	54890
ALKBH6	na	84964
ALKBH7	na	84266
ALKBH8	na	91801
ALLC	na	55821
ALMS1	na	7840
ALMS1P	na	200420
ALOX12	na	239
ALOX12B	na	242
ALOX12P2	na	245
ALOX15	na	246
ALOX15B	na	247
ALOX15P1	na	100652883
ALOX5	na	240
ALOX5AP	na	241
ALOXE3	na	59344
ALPI	na	248
ALPK1	na	80216
ALPK2	na	115701
ALPK3	na	57538
ALPL	na	249
ALPP	na	250
ALPPL2	na	251
ALS2	na	57679
ALS2CL	na	259173
ALS2CR11	na	151254
ALS2CR12	na	130540
ALX1	na	8092
ALX3	na	257
ALX4	na	60529
ALYREF	na	10189
AMACR	na	23600
AMBN	na	258
AMBP	na	259
AMBRA1	na	55626
AMD1	na	262
AMDHD1	na	144193
AMDHD2	na	51005
AMDP1	na	263
AMELX	na	265
AMELY	na	266
AMER1	na	139285
AMER2	na	219287
AMER3	na	205147
AMFR	na	267
AMH	na	268
AMHR2	na	269
AMICA1	na	120425
AMIGO1	na	57463
AMIGO2	na	347902
AMIGO3	na	386724
AMMECR1	na	9949
AMMECR1L	na	83607
AMN	na	81693
AMN1	na	196394
AMOT	na	154796
AMOTL1	na	154810
AMOTL2	na	51421
AMPD1	na	270
AMPD2	na	271
AMPD3	na	272
AMPH	na	273
AMT	na	275
AMTN	na	401138
AMY1A	na	276
AMY1B	na	277
AMY1C	na	278
AMY2A	na	279
AMY2B	na	280
AMZ1	na	155185
AMZ2	na	51321
AMZ2P1	na	201283
ANAPC1	na	64682
ANAPC10	na	10393
ANAPC11	na	51529
ANAPC13	na	25847
ANAPC15	na	25906
ANAPC16	na	119504
ANAPC2	na	29882
ANAPC4	na	29945
ANAPC5	na	51433
ANAPC7	na	51434
ANG	na	283
ANGEL1	na	23357
ANGEL2	na	90806
ANGPT1	na	284
ANGPT2	na	285
ANGPT4	na	51378
ANGPTL1	na	9068
ANGPTL2	na	23452
ANGPTL3	na	27329
ANGPTL4	na	51129
ANGPTL5	na	253935
ANGPTL6	na	83854
ANGPTL7	na	10218
ANK1	na	286
ANK2	na	287
ANK3	na	288
ANKAR	na	150709
ANKDD1A	na	348094
ANKDD1B	na	728780
ANKEF1	na	63926
ANKFN1	na	162282
ANKFY1	na	51479
ANKH	na	56172
ANKHD1	na	54882
ANKHD1-EIF4EBP3	na	404734
ANKIB1	na	54467
ANKK1	na	255239
ANKLE1	na	126549
ANKLE2	na	23141
ANKMY1	na	51281
ANKMY2	na	57037
ANKRA2	na	57763
ANKRD1	na	27063
ANKRD10	na	55608
ANKRD11	na	29123
ANKRD12	na	23253
ANKRD13A	na	88455
ANKRD13B	na	124930
ANKRD13C	na	81573
ANKRD13D	na	338692
ANKRD16	na	54522
ANKRD17	na	26057
ANKRD18A	na	253650
ANKRD18B	na	441459
ANKRD18DP	na	348840
ANKRD19P	na	138649
ANKRD2	na	26287
ANKRD20A1	na	84210
ANKRD20A11P	na	391267
ANKRD20A2	na	441430
ANKRD20A3	na	441425
ANKRD20A4	na	728747
ANKRD20A5P	na	440482
ANKRD20A8P	na	729171
ANKRD20A9P	na	284232
ANKRD22	na	118932
ANKRD23	na	200539
ANKRD24	na	170961
ANKRD26	na	22852
ANKRD26P1	na	124149
ANKRD26P3	na	100101938
ANKRD27	na	84079
ANKRD28	na	23243
ANKRD29	na	147463
ANKRD30A	na	91074
ANKRD30B	na	374860
ANKRD30BL	na	554226
ANKRD30BP2	na	149992
ANKRD31	na	256006
ANKRD32	na	84250
ANKRD33	na	341405
ANKRD33B	na	651746
ANKRD34A	na	284615
ANKRD34B	na	340120
ANKRD34C	na	390616
ANKRD35	na	148741
ANKRD36	na	375248
ANKRD36B	na	57730
ANKRD36BP1	na	84832
ANKRD36BP2	na	645784
ANKRD37	na	353322
ANKRD39	na	51239
ANKRD40	na	91369
ANKRD42	na	338699
ANKRD44	na	91526
ANKRD45	na	339416
ANKRD46	na	157567
ANKRD49	na	54851
ANKRD50	na	57182
ANKRD52	na	283373
ANKRD53	na	79998
ANKRD54	na	129138
ANKRD55	na	79722
ANKRD6	na	22881
ANKRD60	na	140731
ANKRD61	na	100310846
ANKRD62P1-PARP4P3	na	23783
ANKRD63	na	100131244
ANKRD65	na	441869
ANKRD7	na	56311
ANKRD9	na	122416
ANKS1A	na	23294
ANKS1B	na	56899
ANKS3	na	124401
ANKS4B	na	257629
ANKS6	na	203286
ANKUB1	na	389161
ANKZF1	na	55139
ANLN	na	54443
ANO1	na	55107
ANO10	na	55129
ANO2	na	57101
ANO3	na	63982
ANO4	na	121601
ANO5	na	203859
ANO6	na	196527
ANO7	na	50636
ANO8	na	57719
ANO9	na	338440
ANP32A	na	8125
ANP32A-IT1	na	80035
ANP32AP1	na	723972
ANP32B	na	10541
ANP32C	na	23520
ANP32D	na	23519
ANP32E	na	81611
ANPEP	na	290
ANTXR1	na	84168
ANTXR2	na	118429
ANTXRL	na	195977
ANXA1	na	301
ANXA10	na	11199
ANXA11	na	311
ANXA13	na	312
ANXA2	na	302
ANXA2P1	na	303
ANXA2P2	na	304
ANXA2P3	na	305
ANXA2R	na	389289
ANXA3	na	306
ANXA4	na	307
ANXA5	na	308
ANXA6	na	309
ANXA7	na	310
ANXA8	na	653145
ANXA8L1	na	728113
ANXA9	na	8416
AOAH	na	313
AOC2	na	314
AOC3	na	8639
AOC4P	na	90586
AOX1	na	316
AOX2P	na	344454
AP1AR	na	55435
AP1B1	na	162
AP1B1P1	na	23782
AP1G1	na	164
AP1G2	na	8906
AP1M1	na	8907
AP1M2	na	10053
AP1S1	na	1174
AP1S2	na	8905
AP1S3	na	130340
AP2A1	na	160
AP2A2	na	161
AP2B1	na	163
AP2M1	na	1173
AP2S1	na	1175
AP3B1	na	8546
AP3B2	na	8120
AP3D1	na	8943
AP3M1	na	26985
AP3M2	na	10947
AP3S1	na	1176
AP3S2	na	10239
AP4B1	na	10717
AP4E1	na	23431
AP4M1	na	9179
AP4S1	na	11154
AP5B1	na	91056
AP5M1	na	55745
AP5S1	na	55317
AP5Z1	na	9907
APAF1	na	317
APBA1	na	320
APBA2	na	321
APBA3	na	9546
APBB1	na	322
APBB1IP	na	54518
APBB2	na	323
APBB3	na	10307
APC	na	324
APC2	na	10297
APCDD1	na	147495
APCDD1L	na	164284
APCS	na	325
APEH	na	327
APEX1	na	328
APEX2	na	27301
APH1A	na	51107
APH1B	na	83464
API5	na	8539
APIP	na	51074
APITD1	na	378708
APITD1-CORT	na	100526739
APLF	na	200558
APLN	na	8862
APLNR	na	187
APLP1	na	333
APLP2	na	334
APMAP	na	57136
APOA1	na	335
APOA1BP	na	128240
APOA2	na	336
APOA4	na	337
APOA5	na	116519
APOB	na	338
APOBEC1	na	339
APOBEC2	na	10930
APOBEC3A	na	200315
APOBEC3B	na	9582
APOBEC3C	na	27350
APOBEC3D	na	140564
APOBEC3F	na	200316
APOBEC3G	na	60489
APOBEC3H	na	164668
APOBEC4	na	403314
APOBR	na	55911
APOC1	na	341
APOC1P1	na	342
APOC2	na	344
APOC3	na	345
APOC4	na	346
APOC4-APOC2	na	100533990
APOD	na	347
APOE	na	348
APOF	na	319
APOH	na	350
APOL1	na	8542
APOL2	na	23780
APOL3	na	80833
APOL4	na	80832
APOL5	na	80831
APOL6	na	80830
APOLD1	na	81575
APOM	na	55937
APOO	na	79135
APOOL	na	139322
APOPT1	na	84334
APP	na	351
APPBP2	na	10513
APPL1	na	26060
APPL2	na	55198
APRT	na	353
APTX	na	54840
AQP1	na	358
AQP10	na	89872
AQP11	na	282679
AQP12A	na	375318
AQP12B	na	653437
AQP2	na	359
AQP3	na	360
AQP4	na	361
AQP4-AS1	na	147429
AQP5	na	362
AQP6	na	363
AQP7	na	364
AQP7P1	na	375719
AQP7P3	na	441432
AQP8	na	343
AQP9	na	366
AQPEP	na	206338
AQR	na	9716
AR	na	367
ARAF	na	369
ARAP1	na	116985
ARAP2	na	116984
ARAP3	na	64411
ARC	na	23237
ARCN1	na	372
AREG	na	374
AREL1	na	9870
ARF1	na	375
ARF3	na	377
ARF4	na	378
ARF5	na	381
ARF6	na	382
ARFGAP1	na	55738
ARFGAP2	na	84364
ARFGAP3	na	26286
ARFGEF1	na	10565
ARFGEF2	na	10564
ARFIP1	na	27236
ARFIP2	na	23647
ARFRP1	na	10139
ARG1	na	383
ARG2	na	384
ARGFX	na	503582
ARGFXP2	na	503640
ARGLU1	na	55082
ARHGAP1	na	392
ARHGAP10	na	79658
ARHGAP11A	na	9824
ARHGAP11B	na	89839
ARHGAP12	na	94134
ARHGAP15	na	55843
ARHGAP17	na	55114
ARHGAP18	na	93663
ARHGAP19	na	84986
ARHGAP19-SLIT1	na	100533184
ARHGAP20	na	57569
ARHGAP21	na	57584
ARHGAP22	na	58504
ARHGAP23	na	57636
ARHGAP24	na	83478
ARHGAP25	na	9938
ARHGAP26	na	23092
ARHGAP27	na	201176
ARHGAP28	na	79822
ARHGAP29	na	9411
ARHGAP30	na	257106
ARHGAP31	na	57514
ARHGAP32	na	9743
ARHGAP33	na	115703
ARHGAP35	na	2909
ARHGAP36	na	158763
ARHGAP39	na	80728
ARHGAP4	na	393
ARHGAP40	na	343578
ARHGAP42	na	143872
ARHGAP44	na	9912
ARHGAP5	na	394
ARHGAP5-AS1	na	84837
ARHGAP6	na	395
ARHGAP8	na	23779
ARHGAP9	na	64333
ARHGDIA	na	396
ARHGDIB	na	397
ARHGDIG	na	398
ARHGEF1	na	9138
ARHGEF10	na	9639
ARHGEF10L	na	55160
ARHGEF11	na	9826
ARHGEF12	na	23365
ARHGEF15	na	22899
ARHGEF16	na	27237
ARHGEF17	na	9828
ARHGEF18	na	23370
ARHGEF19	na	128272
ARHGEF2	na	9181
ARHGEF25	na	115557
ARHGEF26	na	26084
ARHGEF26-AS1	na	100507524
ARHGEF28	na	64283
ARHGEF3	na	50650
ARHGEF33	na	100271715
ARHGEF35	na	445328
ARHGEF37	na	389337
ARHGEF38	na	54848
ARHGEF39	na	84904
ARHGEF4	na	50649
ARHGEF40	na	55701
ARHGEF5	na	7984
ARHGEF6	na	9459
ARHGEF7	na	8874
ARHGEF9	na	23229
ARID1A	na	8289
ARID1B	na	57492
ARID2	na	196528
ARID3A	na	1820
ARID3B	na	10620
ARID3C	na	138715
ARID4A	na	5926
ARID4B	na	51742
ARID5A	na	10865
ARID5B	na	84159
ARIH1	na	25820
ARIH2	na	10425
ARIH2OS	na	646450
ARL1	na	400
ARL10	na	285598
ARL11	na	115761
ARL13A	na	392509
ARL13B	na	200894
ARL14	na	80117
ARL14EP	na	120534
ARL14EPL	na	644100
ARL15	na	54622
ARL16	na	339231
ARL17A	na	51326
ARL2	na	402
ARL2-SNX15	na	100528018
ARL2BP	na	23568
ARL3	na	403
ARL4A	na	10124
ARL4C	na	10123
ARL4D	na	379
ARL5A	na	26225
ARL5B	na	221079
ARL5C	na	390790
ARL6	na	84100
ARL6IP1	na	23204
ARL6IP4	na	51329
ARL6IP5	na	10550
ARL6IP6	na	151188
ARL8A	na	127829
ARL8B	na	55207
ARL9	na	132946
ARMC1	na	55156
ARMC10	na	83787
ARMC12	na	221481
ARMC2	na	84071
ARMC3	na	219681
ARMC4	na	55130
ARMC5	na	79798
ARMC6	na	93436
ARMC7	na	79637
ARMC8	na	25852
ARMC9	na	80210
ARMCX1	na	51309
ARMCX2	na	9823
ARMCX3	na	51566
ARMCX4	na	100131755
ARMCX5	na	64860
ARMCX5-GPRASP2	na	100528062
ARMCX6	na	54470
ARMS2	na	387715
ARNT	na	405
ARNT2	na	9915
ARNTL	na	406
ARNTL2	na	56938
ARPC1A	na	10552
ARPC1B	na	10095
ARPC2	na	10109
ARPC3	na	10094
ARPC4	na	10093
ARPC4-TTLL3	na	100526693
ARPC5	na	10092
ARPC5L	na	81873
ARPIN	na	348110
ARPP19	na	10776
ARPP21	na	10777
ARR3	na	407
ARRB1	na	408
ARRB2	na	409
ARRDC1	na	92714
ARRDC1-AS1	na	85026
ARRDC2	na	27106
ARRDC3	na	57561
ARRDC4	na	91947
ARRDC5	na	645432
ARSA	na	410
ARSB	na	411
ARSD	na	414
ARSE	na	415
ARSF	na	416
ARSG	na	22901
ARSH	na	347527
ARSI	na	340075
ARSJ	na	79642
ARSK	na	153642
ART1	na	417
ART3	na	419
ART4	na	420
ART5	na	116969
ARTN	na	9048
ARV1	na	64801
ARVCF	na	421
ARX	na	170302
AS3MT	na	57412
ASAH1	na	427
ASAH2	na	56624
ASAH2B	na	653308
ASAP1	na	50807
ASAP1-IT1	na	29065
ASAP2	na	8853
ASAP3	na	55616
ASB1	na	51665
ASB10	na	136371
ASB11	na	140456
ASB12	na	142689
ASB13	na	79754
ASB14	na	142686
ASB15	na	142685
ASB16	na	92591
ASB16-AS1	na	339201
ASB17	na	127247
ASB18	na	401036
ASB2	na	51676
ASB3	na	51130
ASB4	na	51666
ASB5	na	140458
ASB6	na	140459
ASB7	na	140460
ASB8	na	140461
ASB9	na	140462
ASB9P1	na	728619
ASCC1	na	51008
ASCC2	na	84164
ASCC3	na	10973
ASCL1	na	429
ASCL2	na	430
ASCL3	na	56676
ASCL4	na	121549
ASCL5	na	647219
ASF1A	na	25842
ASF1B	na	55723
ASGR1	na	432
ASGR2	na	433
ASH1L	na	55870
ASH2L	na	9070
ASIC1	na	41
ASIC2	na	40
ASIC3	na	9311
ASIC4	na	55515
ASIC5	na	51802
ASIP	na	434
ASL	na	435
ASMT	na	438
ASMTL-AS1	na	80161
ASNA1	na	439
ASNS	na	440
ASNSD1	na	54529
ASPA	na	443
ASPDH	na	554235
ASPG	na	374569
ASPH	na	444
ASPHD1	na	253982
ASPHD2	na	57168
ASPM	na	259266
ASPN	na	54829
ASPRV1	na	151516
ASPSCR1	na	79058
ASRGL1	na	80150
ASS1	na	445
ASTE1	na	28990
ASTL	na	431705
ASTN1	na	460
ASTN2	na	23245
ASUN	na	55726
ASXL1	na	171023
ASXL2	na	55252
ASXL3	na	80816
ASZ1	na	136991
ATAD1	na	84896
ATAD2	na	29028
ATAD2B	na	54454
ATAD3A	na	55210
ATAD3B	na	83858
ATAD3C	na	219293
ATAD5	na	79915
ATAT1	na	79969
ATCAY	na	85300
ATE1	na	11101
ATF1	na	466
ATF2	na	1386
ATF3	na	467
ATF4	na	468
ATF5	na	22809
ATF6	na	22926
ATF6B	na	1388
ATF7	na	11016
ATF7IP	na	55729
ATF7IP2	na	80063
ATG10	na	83734
ATG101	na	60673
ATG12	na	9140
ATG13	na	9776
ATG14	na	22863
ATG16L1	na	55054
ATG16L2	na	89849
ATG2A	na	23130
ATG2B	na	55102
ATG3	na	64422
ATG4A	na	115201
ATG4B	na	23192
ATG4C	na	84938
ATG4D	na	84971
ATG5	na	9474
ATG7	na	10533
ATG9A	na	79065
ATG9B	na	285973
ATHL1	na	80162
ATIC	na	471
ATL1	na	51062
ATL2	na	64225
ATL3	na	25923
ATM	na	472
ATMIN	na	23300
ATN1	na	1822
ATOH1	na	474
ATOH7	na	220202
ATOH8	na	84913
ATOX1	na	475
ATP10A	na	57194
ATP10B	na	23120
